,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
78885,795882002,795882,Burt Skinny Trousers,272,Trousers,Garment Lower body,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,5631,Trouser,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1009,Trousers,"Suit trousers in a stretch cotton and Tencel™ lyocell weave with a concealed hook-and-eye fastener, zip fly, side pockets, jetted back pockets and legs with creases. Skinny Fit – a fit with slightly shorter legs that is close-fitting at the thighs, knees and ankles to create a completely fitted silhouette."
16203,569099001,569099,Christmas Sweater,252,Sweater,Garment Upper body,1010001,All over pattern,93,Dark Green,7,Medium,19,Green,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Top in printed sweatshirt fabric with gently dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem."
92916,855793001,855793,Vickan baby tee,255,T-shirt,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Short, fitted T-shirt in cotton jersey with a round, rib-trimmed neckline."
25623,613719001,613719,LUKE HOOD,308,Hoodie,Garment Upper body,1010001,All over pattern,6,Light Grey,1,Dusty Light,12,Grey,7648,Kids Boy Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1005,Jersey Fancy,"Patterned jacket in sweatshirt fabric with a lined hood, zip down the front, side pockets and ribbing at the cuffs and hem."
72041,766440002,766440,Meg,265,Dress,Garment Full body,1010001,All over pattern,9,Black,4,Dark,5,Black,1313,Dress,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1013,Dresses Ladies,"Short, sleeveless dress in an airy weave with a V-neck at the back and ties at the back of the neck. Pleats at the front and a box pleat at the back. Lined."
76386,784628002,784628,CRUCIAL R-NECK SWEATER,252,Sweater,Garment Upper body,1010010,Melange,9,Black,4,Dark,5,Black,5878,Knitwear,F,Menswear,3,Menswear,20,Contemporary Smart,1003,Knitwear,"Long-sleeved jumper knitted in a soft cotton blend with ribbing around the neckline, cuffs and hem."
17395,573716049,573716,Kanta slacks RW,272,Trousers,Garment Lower body,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a regular waist, concealed zip in one side, fake back pockets and tapered legs with slits at the hems."
96144,869198002,869198,1p Current Socks,302,Socks,Socks & Tights,1010009,Glittering/Metallic,9,Black,4,Dark,5,Black,3610,Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Socks in a soft fine-knit with elasticated tops.
30441,628535008,628535,Harper dress,265,Dress,Garment Full body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short dress in a viscose weave with a V-neck and ties at the front, narrow, adjustable shoulder straps and elasticated seam at the waist. Unlined."
15531,567438007,567438,Clark Slim Trs,272,Trousers,Garment Lower body,1010016,Solid,7,Grey,2,Medium Dusty,12,Grey,5631,Trouser,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1009,Trousers,"Suit trousers in marled Italian wool with stitching details. Concealed button and hook-and-eye fastening, zip fly, side pockets, jetted back pockets with a button, and legs with creases. Slim fit that is close-fitting at the thighs, knees and ankles to create a fitted silhouette."
23844,607232001,607232,Soda,274,Shorts,Garment Lower body,1010016,Solid,51,Light Pink,3,Light,4,Pink,5690,Shorts,F,Menswear,3,Menswear,55,Contemporary Street,1025,Shorts,"5-pocket shorts in washed denim with hard-worn details, a regular waist, button fly and raw-edge, frayed hems."
67390,750763002,750763,Jocke WP boot SB,94,Sneakers,Shoes,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,4211,Kids Boy Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,"Boots in waterproof functional fabric with imitation leather details, a padded edge and a hook and loop fastening at the front. Lightly padded tongue that can easily be pulled forward to make it easier to put the boots on. Reflective details. Pile linings and insoles and chunky, patterned soles."
22499,598785003,598785,Ricky bomber,262,Jacket,Garment Upper body,1010016,Solid,93,Dark Green,4,Dark,19,Green,5283,Jacket Street,F,Menswear,3,Menswear,31,Mens Outerwear,1007,Outdoor,"Satin baseball jacket with an embroidered motif on the chest and back, a striped stand-up collar and press-studs down the front. Jetted front pockets, one inner pocket and striped ribbing at the cuffs and hem. Lined."
86289,823306003,823306,NW LINDSAY SL (W),297,Pyjama set,Nightwear,1010001,All over pattern,9,Black,4,Dark,5,Black,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,Pyjama top and shorts in soft satin. V-neck cami top with adjustable spaghetti shoulder straps and lace at the top. Short shorts with narrow elastication at the waist and lace-trimmed hems.
45200,682384002,682384,Necklace Daniel,77,Necklace,Accessories,1010016,Solid,3,Silver,3,Light,15,Metal,9986,Small Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Metal chain necklaces with pendants. Length 62 cm and 73 cm.
98228,878097002,878097,Lava,254,Top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Straight-cut top in ribbed jersey with a V-neck. Relaxed fit with dropped shoulders, short sleeves and slits in the sides."
44019,678861003,678861,Manny,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1646,Knitwear Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1003,Knitwear,"Jumper in a soft, fine-knit viscose blend with a V-neck, dropped shoulders, long sleeves and slits in the sides. Slightly longer at the back."
62468,736489019,736489,Zenit highlift sneaker,94,Sneakers,Shoes,1010001,All over pattern,13,Beige,2,Medium Dusty,11,Beige,3828,Sneakers,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Platform trainers with lacing at the front, cotton canvas linings and insoles and rubber soles. Platform 3.5 cm."
60196,727601001,727601,Scarf Daniel CNY,80,Scarf,Accessories,1010016,Solid,42,Red,5,Bright,18,Red,9985,Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,"Scarf in a soft, textured knit. Size 50x170 cm."
52827,702404001,702404,Fiffi Flare Leggings,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1649,Trousers DS,D,Divided,2,Divided,58,Divided Selected,1009,Trousers,Leggings in sturdy jersey with a slight sheen. Elasticated waist and flared legs.
22439,598649001,598649,Bird SS,255,T-shirt,Garment Upper body,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,"Short, fitted jersey top with short sleeves and a visible seam down the front. Slightly shorter front with a knot detail at the hem."
4737,486329006,486329,Jess,253,Vest top,Garment Upper body,1010001,All over pattern,40,Other Red,5,Bright,18,Red,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,V-neck top in a double layer of crêpe with narrow shoulder straps that cross at the back. Gently flared style.
2904,439921001,439921,Louisa Stay Ups,302,Socks,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fishnet stay-ups with a wide lace trim with silicone at the top.
12050,551257009,551257,Louisa,254,Top,Garment Upper body,1010016,Solid,33,Dark Orange,7,Medium,18,Red,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,Blouse in a cotton weave with pleats at the top and down the sleeves and a visible zip at the back. Short raglan sleeves with wide elastication and a rounded hem. Slightly longer at the back.
80238,801430002,801430,Billy  5-pkt (TVP),272,Trousers,Garment Lower body,1010016,Solid,22,Yellow,2,Medium Dusty,8,Yellow,7656,Kids Boy Trouser,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1009,Trousers,"Straight trousers in washed cotton twill with a soft brushed finish. Adjustable, elasticated waist, zip fly and button, and front and back pockets."
14532,563394002,563394,SB Mike Shorts,59,Swimwear bottom,Swimwear,1010014,Placement print,73,Dark Blue,4,Dark,2,Blue,4210,Kids Boy Swimwear,J,"Children Accessories, Swimwear",4,Baby/Children,43,"Kids Accessories, Swimwear & D",1018,Swimwear,Patterned swim shorts with an elasticated drawstring waist. Soft mesh inner shorts.
93426,858052006,858052,Verina,258,Blouse,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Straight-cut blouse in woven fabric. Round opening at the back with ties at the back of the neck and short, elasticated puff sleeves."
7204,511222001,511222,ANTON set,270,Garment Set,Garment Full body,1010017,Stripe,11,Off White,1,Dusty Light,9,White,6564,Newborn,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1005,Jersey Fancy,"Set with a hooded jacket and trousers in sweatshirt fabric. Jacket with a pile-lined hood, zip down the front, front pockets and ribbing at the cuffs and hem. Trousers with elastication and a tie at the waist and ribbed hems. Soft brushed inside."
96222,869489006,869489,wilma skirt,275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,8713,Young Girl Dresses,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1014,Dresses/Skirts girls,A-line skirt in twill made from a cotton blend with fake pockets and buttons at the front.
44831,681187001,681187,HLW SB Padded Halfsuit,277,Costumes,Garment Full body,1010014,Placement print,32,Orange,5,Bright,3,Orange,4216,Dress-up Boys,J,"Children Accessories, Swimwear",4,Baby/Children,43,"Kids Accessories, Swimwear & D",1019,Accessories,"Padded, sleeveless fancy dress costume in jersey."
2454,408571002,408571,Tua 2p kneehigh,302,Socks,Socks & Tights,1010026,Other structure,7,Grey,2,Medium Dusty,12,Grey,3610,Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Knee socks in a soft knit with elastication at the top. One pair in a textured knit and one pair in a smooth knit.
103031,908729009,908729,Tuna Short,265,Dress,Garment Full body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Short, A-line dress in crinkled chiffon with a grandad collar and covered buttons at the top. Long puff sleeves and narrow cuffs with a covered button. Seam at the waist and a tiered skirt. V-neck underdress in jersey made from recycled polyester with narrow shoulder straps."
53526,704760014,704760,Country socks,302,Socks,Socks & Tights,1010016,Solid,73,Dark Blue,5,Bright,2,Blue,4314,Kids Dress-up/Football,J,"Children Accessories, Swimwear",4,Baby/Children,43,"Kids Accessories, Swimwear & D",1019,Accessories,"Fine-knit, knee-high football socks in fast-drying functional fabric with elastication at the top, ankle and foot for best fit. Double layer underneath for extra cushioning."
90421,843194002,843194,LOGG Henri mockneck,254,Top,Garment Upper body,1010016,Solid,93,Dark Green,4,Dark,19,Green,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,"Blouse in airy, textured-knit jersey with a stand-up collar and cut-out section at the back with ties at the back of the neck. Straight style with soft draping to the hem, and long raglan balloon sleeves with narrow, concealed elastication at the cuffs."
27554,620216021,620216,MALAGA legging,273,Leggings/Tights,Garment Lower body,1010016,Solid,51,Light Pink,3,Light,4,Pink,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Leggings in soft organic cotton jersey with an elasticated waist.
7287,512254001,512254,Kurt Cardigan,245,Cardigan,Garment Upper body,1010026,Other structure,13,Beige,2,Medium Dusty,11,Beige,5958,Knitwear inactive from s1,F,Menswear,3,Menswear,21,Contemporary Casual,1003,Knitwear,"Cardigan in a soft knit containing some alpaca wool with a V-neck, buttons down the front and ribbing with hard-worn details at the cuffs and hem."
34358,641521001,641521,SPEED Tidal Earring,70,Earring,Accessories,1010016,Solid,93,Dark Green,4,Dark,19,Green,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Earrings with sparkly stones and beads. Length 5.5 cm.
32497,635238006,635238,HongKong Quilted Clutch,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Imitation leather clutch bag with a flap and concealed magnetic fastener. Narrow imitation leather and metal chain shoulder strap and one zipped inner compartment. Lined. Size approx. 4x15x27 cm.
90322,842525001,842525,KIDS-Turin Woven Pants,272,Trousers,Garment Lower body,1010017,Stripe,12,Light Beige,1,Dusty Light,9,White,7857,Kids Boy Exclusive,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1001,Unknown,"KIDS EXCLUSIVE. Trousers in double-weave, crinkled organic cotton with an adjustable, elasticated waist and zip fly with a button. Side pockets, a back pocket and sewn-in turn-ups at the hems. Detachable elastic braces with imitation leather details."
52361,701085018,701085,MONICA DRESS,265,Dress,Garment Full body,1010006,Dot,52,Pink,1,Dusty Light,4,Pink,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Long-sleeved dress in patterned organic cotton jersey with a gathered seam at the waist and flared skirt.
51144,698302011,698302,HERBAL HOOD TVP,308,Hoodie,Garment Upper body,1010014,Placement print,10,White,3,Light,9,White,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,Long-sleeved top in sweatshirt fabric with a lined drawstring hood and ribbing at the cuffs and hem. Soft brushed inside.
24489,609469002,609469,Vega sneaker NEW,94,Sneakers,Shoes,1010016,Solid,63,Dark Purple,5,Bright,6,Lilac Purple,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,"Platform trainers with lacing at the front, cotton canvas linings and insoles and rubber soles. Platform 3.5 cm."
99083,882261002,882261,Judith dress,265,Dress,Garment Full body,1010001,All over pattern,93,Dark Green,7,Medium,19,Green,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,"Knee-length dress in soft, patterned jersey with a V-neck and wrapover top that has a practical inner top for easier nursing access. Short sleeves, an elasticated seam at the waist and a skirt with a sewn-in wrapover and decorative ties at one side. Unlined."
101344,895993001,895993,Dag Tank,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Straight-style vest top in soft jersey with a round neckline and visible seam down the back.
44610,680597010,680597,Leila Sarong,80,Scarf,Accessories,1010016,Solid,93,Dark Green,4,Dark,19,Green,3409,Scarves,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Sarong in an airy weave. Size 130x150 cm.
21463,594348001,594348,W Ranunkel EQ,258,Blouse,Garment Upper body,1010004,Check,71,Light Blue,1,Dusty Light,2,Blue,3030,Equatorial Assortment,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1001,Unknown,"Blouse in a cotton weave with beaded decorations on the front, an opening with a button at the back of the neck, short sleeves with a seam and narrow, elasticated trim at the top and a seam at the waist with a flared peplum."
74799,778285001,778285,S.Skinny L.W Ankle Elite,272,Trousers,Garment Lower body,1010023,Denim,9,Black,4,Dark,5,Black,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket, low-rise, ankle-length jeans in washed, superstretch denim with worn details, a zip fly and button and super-skinny legs with raw-edge hems. Made using Lycra® Beauty technology to retain the shape of the jeans and provide a sculpting effect with optimal comfort."
26257,616597001,616597,SIBLING DEAL,255,T-shirt,Garment Upper body,1010008,Front print,10,White,3,Light,9,White,7050,Promotion / Other / Offer,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1023,Special Offers,T-shirt in soft organic cotton jersey with a text print. Press-studs on one shoulder in sizes 0-12 months.
85620,820484002,820484,Tilda linen,255,T-shirt,Garment Upper body,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,T-shirt in airy linen jersey with a round neckline and gently rounded hem.
64519,742038005,742038,LEXI knotted loose tee,255,T-shirt,Garment Upper body,1010010,Melange,52,Pink,2,Medium Dusty,4,Pink,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Short, round-necked sports top in fast-drying functional fabric with short sleeves and a panel at the hem with a knot detail at the front and gathers at the back."
58805,721267001,721267,Peggy padded,262,Jacket,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1244,Outdoor/Blazers,D,Divided,2,Divided,53,Divided Collection,1007,Outdoor,"Fitted, padded jacket in woven fabric with a zip down the front and lined hood with a detachable faux fur trim. Elasticated drawstring at the waist, front pockets with a press-stud, and inner ribbing at the cuffs. Lined."
42192,671777035,671777,Roll Up Tee,255,T-shirt,Garment Upper body,1010001,All over pattern,7,Grey,1,Dusty Light,12,Grey,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,T-shirt in printed jersey with a chest pocket and short sleeves with sewn-in turn-ups.
65644,745167006,745167,2P Coolpants,272,Trousers,Garment Lower body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,CONSCIOUS Joggers in soft organic cotton sweatshirt fabric with an elasticated drawstring waist and ribbed hems.
71359,763708001,763708,Pat ls buffalo plaid,259,Shirt,Garment Upper body,1010004,Check,19,Greenish Khaki,4,Dark,20,Khaki green,5767,Shirt,F,Menswear,3,Menswear,21,Contemporary Casual,1011,Shirts,"Checked shirt in a cotton weave with a turn-down collar, classic front and open chest pocket. Long sleeves with adjustable buttoning at the cuffs, a yoke with a pleat and hanger loop at the back, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
43102,675319002,675319,Bristol jersey blz,264,Blazer,Garment Upper body,1010004,Check,12,Light Beige,2,Medium Dusty,11,Beige,1222,Suit jacket,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1008,Dressed,"Straight-cut jacket in sturdy jersey with notch lapels, buttons at the front and patch front pockets. Unlined."
3656,462162014,462162,Relaxed Skinny 5pkt,272,Trousers,Garment Lower body,1010023,Denim,9,Black,4,Dark,5,Black,5672,Denim trousers,F,Menswear,3,Menswear,56,Denim Men,1016,Trousers Denim,"5-pocket jeans in washed stretch denim with a regular waist, button fly and slightly wider, tapered legs."
96801,871624003,871624,Ricky Tapered Linen,272,Trousers,Garment Lower body,1010016,Solid,13,Beige,1,Dusty Light,11,Beige,5656,Trouser,F,Menswear,3,Menswear,21,Contemporary Casual,1009,Trousers,"Trousers in a cool linen and cotton weave. Regular, elasticated waist with a concealed drawstring, a zip fly and button, side pockets, welt back pockets with a button, and gently tapered legs."
10956,544571021,544571,TP AXEL 2-pack s/s BB,255,T-shirt,Garment Upper body,1010001,All over pattern,10,White,3,Light,9,White,8768,Young Boy Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,T-shirts in organic cotton jersey.
94174,861123001,861123,PQ Slim Straight Selvedge,272,Trousers,Garment Lower body,1010023,Denim,72,Blue,3,Light,2,Blue,5672,Denim trousers,F,Menswear,3,Menswear,56,Denim Men,1016,Trousers Denim,"5-pocket, slim-fit jeans in washed cotton denim with a regular waist, button fly and gently tapered legs. The jeans are made from selvedge denim – a high-quality denim woven on traditional shuttle looms with a distinctive red/white selvedge that stops the fabric from unravelling. The cotton content of the jeans is partly recycled."
104101,918707001,918707,Alesha skirt,275,Skirt,Garment Lower body,1010021,Lace,9,Black,4,Dark,5,Black,1948,Trousers & Skirt,A,Ladieswear,1,Ladieswear,18,Womens Trend,1009,Trousers,"Flared, calf-length skirt in soft lace made from a cotton blend with a high waist and concealed zip in one side. Lined with a short skirt."
46454,685816047,685816,RONNY R-NECK,255,T-shirt,Garment Upper body,1010016,Solid,71,Light Blue,3,Light,2,Blue,5832,Light Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,Round-necked T-shirt in soft cotton jersey.
45025,681965001,681965,EQ AVRIL VELVET TEE,255,T-shirt,Garment Upper body,1010016,Solid,43,Dark Red,7,Medium,18,Red,1652,Divided+,D,Divided,2,Divided,50,Divided Projects,1001,Unknown,T-shirt in velour with a small stand-up collar and zip at the top.
87167,826492002,826492,Dame,252,Sweater,Garment Upper body,1010016,Solid,7,Grey,1,Dusty Light,12,Grey,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Boxy-style jumper in a soft, fine knit containing some wool with low dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem. The polyester content of the jumper is recycled."
50309,696533001,696533,Nemo braided belt,67,Belt,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3509,Belts,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Narrow, braided belt in imitation leather with a metal buckle. Width 1.5 cm."
81723,806190001,806190,Beck l/s top,254,Top,Garment Upper body,1010008,Front print,7,Grey,1,Dusty Light,12,Grey,7616,Kids Girl Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1005,Jersey Fancy,"Long-sleeved top in soft cotton jersey with a sequin motif on the front, narrow ribbing around the neckline, and a rounded hem. Longer at the back."
16029,568631004,568631,Birdy jumper,252,Sweater,Garment Upper body,1010010,Melange,93,Dark Green,5,Bright,19,Green,1949,Knitwear,A,Ladieswear,1,Ladieswear,2,H&M+,1003,Knitwear,Wide V-neck jumper in a soft knit with low dropped shoulders and ribbing at the cuffs and hem.
36479,650861002,650861,York duffel coat,262,Jacket,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,6550,Baby Girl Outdoor,G,Baby Sizes 50-98,4,Baby/Children,40,Baby Girl,1007,Outdoor,"Fleece duffle coat with a detachable, pile-lined hood, patch front pockets, toggles at the front and a yoke at the back. Pile lining."
39881,662948001,662948,Osman,252,Sweater,Garment Upper body,1010016,Solid,7,Grey,1,Dusty Light,12,Grey,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Shorter polo-neck jumper in a rib knit containing some wool with dropped shoulders, long sleeves and roll-edges around the neck, cuffs and hem."
72212,767031001,767031,SU Odessa slipover set,259,Shirt,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,7657,Kids Boy Shirt,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1011,Shirts,"Set with a shirt, slipover and tie. Shirt in woven fabric with a turn-down collar, buttons down the front and buttoned cuffs. Easy-iron finish. Slipover in a cotton knit with a V-neck and ribbing around the neckline, armholes and hem. Tie with an adjustable elastic strap."
53905,706016020,706016,Jade Denim HW trs,272,Trousers,Garment Lower body,1010016,Solid,72,Blue,2,Medium Dusty,2,Blue,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and super-skinny legs."
87543,828482001,828482,PALLE PARTY DRESS,265,Dress,Garment Full body,1010015,Sequin,51,Light Pink,1,Dusty Light,4,Pink,8716,Young Girl Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1005,Jersey Fancy,"Sleeveless, A-line dress covered in sequins."
73786,773463003,773463,Margret dress,265,Dress,Garment Full body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1666,Jersey,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1005,Jersey Fancy,"Short, V-neck dress in jersey crêpe with a tie belt at the waist and short, frilled sleeves with overlocked edges."
64152,740517001,740517,LOGG scarf LATE,80,Scarf,Accessories,1010016,Solid,10,White,3,Light,9,White,4322,Young Girl Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,Tube scarf in a soft cable knit.
19376,583802001,583802,Selena zip hood,308,Hoodie,Garment Upper body,1010010,Melange,51,Light Pink,3,Light,4,Pink,7616,Kids Girl Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1005,Jersey Fancy,"Jacket in sweatshirt fabric with a print motif at the top, hood and zip down the front. Front pockets, ribbing at the cuffs and an elasticated hem."
67453,751257006,751257,ED Becky trouser,272,Trousers,Garment Lower body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,"Ankle-length trousers in soft viscose jersey with covered elastication at the waist, side pockets and straight, wide legs."
55817,711711001,711711,LOGG Velour jogger,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,Joggers in velour with an elasticated drawstring waist and tapered legs with ribbed jersey hems.
62984,738209005,738209,SUMMER FINE KNIT SS,255,T-shirt,Garment Upper body,1010016,Solid,11,Off White,1,Dusty Light,9,White,5884,Knitwear,F,Menswear,3,Menswear,55,Contemporary Street,1003,Knitwear,"T-shirt in fine-knit slub cotton with a round neck and gently dropped shoulders. Roll edges around the neckline, sleeves and hem."
77211,788328006,788328,Karl turtleneck jumper,252,Sweater,Garment Upper body,1010010,Melange,71,Light Blue,1,Dusty Light,2,Blue,1648,Knitwear,A,Ladieswear,1,Ladieswear,18,Womens Trend,1003,Knitwear,"Long knitted jumper in a soft alpaca and wool blend with a wrapover polo neck, dropped shoulders and long, wide sleeves that taper to the cuffs. Ribbing at the cuffs and hem."
79040,796479002,796479,OLGA top,252,Sweater,Garment Upper body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,8718,Young Girl Knitwear,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1003,Knitwear,"Sleeveless, cropped, rib-knit top. Narrow cut at the top with short shoulder straps."
44070,678977001,678977,Ringo,252,Sweater,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Slub-knit jumper in a soft, fluffy yarn with long sleeves and ribbing around the neckline, cuffs and hem."
3573,458239001,458239,Tess CN Unique,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Short-sleeved dress in soft cotton jersey.
101763,898918001,898918,Shanghai CN,254,Top,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Straight-cut top in soft jersey made from a modal and cotton blend. Loose fit with a round neckline, dropped shoulders and long sleeves."
23737,606722002,606722,ES Elfie Pile,262,Jacket,Garment Upper body,1010007,Embroidery,12,Light Beige,1,Dusty Light,11,Beige,7812,Kids Girl Outdoor,H,Children Sizes 92-140,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,"Jacket in soft pile with an embroidered motif at the top, jersey-lined hood and zip down the front. Front pockets with an embroidered motif, and ribbing at the cuffs and hem. Jersey lining."
